OBJECTID,FIRST_RURB,MUNICIPALI,REGION,ZIPCODE,PROVINCE,KM_DIST,BRGY,OLD_NAME,RUR_URB,DISTRICT,CITY_CLASS,INCOME_CLA,REG_VOTERS,LAND_AREA2,ISLAND1,ISLAND2,ISLAND3,TOTPOP2000,HSEPOP2000,HSEHOLDS20,TOTPOP2007,TOTPOP2010,SHAPE_LENG,SHAPE_AREA,GEOCODE,PGEOCODE
18,RP072202,ALCOY,VII,6023,CEBU,"093",8,ALCOY,Partially Urban,2nd,N,5th Class,8295,6163,VISAYAS,CEBU ISLAND,Cebu Island,13497,13481,2435,14571,14757,0.34672456739,0.0061561026,"072202000","072200000"
29,RP072204,ALOGUINSAN,VII,6040,CEBU,"073",15,ALONGUINSAN,Partially Urban,3rd,N,4th Class,17521,6192,VISAYAS,CEBU ISLAND,Cebu Island,24180,24168,4821,26164,27650,0.30844398036,0.00492706862,"072204000","072200000"
49,RP072205,ARGAO,VII,6021,CEBU,"067",45,ARGAO,Partially Urban,2nd,N,1st Class,42972,19150,VISAYAS,CEBU ISLAND,Cebu Island,61010,60961,12227,62226,69503,0.59644061947,0.0178660546,"072205000","072200000"
54,RP072206,ASTURIAS,VII,6042,CEBU,"071",27,ASTURIAS,Partially Urban,3rd,N,3rd Class,26272,19045,VISAYAS,CEBU ISLAND,Cebu Island,38961,38945,7964,40939,44732,0.70642681103,0.01812051192,"072206000","072200000"
110,RP072210,BARILI,VII,6036,CEBU,"082",42,BARILI,Partially Urban,3rd,N,2nd Class,37424,12221,VISAYAS,CEBU ISLAND,Cebu Island,57764,57655,11164,60430,65524,0.41570699922,0.00899076095,"072210000","072200000"
146,RP072212,BOLJOON,VII,6024,CEBU,"103",11,BOLJOON,Partially Urban,2nd,N,5th Class,9293,11700,VISAYAS,CEBU ISLAND,Cebu Island,13380,13368,2513,14877,15027,0.37638256014,0.00776780835,"072212000","072200000"
151,RP072213,BORBON,VII,6008,CEBU,"083",19,BORBON,Partially Urban,5th,N,"-",20549,12094,VISAYAS,CEBU ISLAND,Cebu Island,28571,28566,5878,32278,31598,0.42456709199,0.00828956066,"072213000","072200000"
214,RP072214,CITY OF CARCAR,VII,6019,CEBU,"041",15,CARCAR,Partially Urban,1st,Y,"-",50774,11678,VISAYAS,CEBU ISLAND,Cebu Island,89199,89119,17312,100632,107323,0.47204149026,0.00894148422,"072214000","072200000"
221,RP072216,CATMON,VII,6006,CEBU,"057",20,CATMON,Partially Urban,5th,N,4th Class,14968,10964,VISAYAS,CEBU ISLAND,Cebu Island,25083,25083,5198,27330,28320,0.40603556293,0.00824311478,"072216000","072200000"
223,RP072217,CEBU CITY,VII,6000,CEBU,"000",80,CEBU CITY,Highly Urbanized,6th,Y,1st Class,486711,31500,VISAYAS,CEBU ISLAND,Cebu Island,718821,714388,147600,798809,866171,0.75489931497,0.02683311818,"072217000","072200000"
232,RP072211,CITY OF BOGO,VII,6010,CEBU,"102",29,BOGO,Partially Urban,4th,Y,"-",44095,10352,VISAYAS,CEBU ISLAND,Cebu Island,63869,63809,13509,69123,69911,0.4204412875,0.00595161077,"072211000","072200000"
242,RP072234,CITY OF NAGA,VII,6037,CEBU,"022",28,NAGA,Partially Urban,1st,Y,"-",49128,10197,VISAYAS,CEBU ISLAND,Cebu Island,80189,80104,15806,95163,101571,0.40011862861,0.00880138668,"072234000","072200000"
257,RP072219,CONSOLACION,VII,6001,CEBU,"013",21,CONSOLACION,Urban,6th,N,1st Class,46928,14720,VISAYAS,CEBU ISLAND,Cebu Island,62298,62192,12837,87544,106649,0.432732244,0.00375038785,"072219000","072200000"
271,RP072222,DALAGUETE,VII,6022,CEBU,"085",33,DALAGUETE,Partially Urban,2nd,N,1st Class,33515,15496,VISAYAS,CEBU ISLAND,Cebu Island,57331,57309,10873,61405,63239,0.44047269713,0.011080518,"072222000","072200000"
314,RP072224,DUMANJUG,VII,6035,CEBU,"074",37,DUMANJUG,Partially Urban,2nd,N,3rd Class,30753,8553,VISAYAS,CEBU ISLAND,Cebu Island,39666,39625,7787,44807,46754,0.33589742645,0.00588042706,"072224000","072200000"
343,RP072225,GINATILAN,VII,6028,CEBU,"135",14,GINATILAN,Partially Urban,2nd,N,5th Class,9428,7010,VISAYAS,CEBU ISLAND,Cebu Island,14073,14066,2676,13654,15327,0.29802720903,0.00515975746,"072225000","072200000"
531,RP072228,MADRIDEJOS,VII,6053,CEBU,"026",14,MADRIDEJOS,Urban,4th,N,4th Class,19476,2395,VISAYAS,BANTAYAN ISLAND,Bantayan Island,29020,29011,5275,30673,34905,0.22151182968,0.00220594991,"072228000","072200000"
551,RP072229,MALABUYOC,VII,6029,CEBU,"126",14,MALABUYOC,Partially Urban,2nd,N,5th Class,10994,6927,VISAYAS,CEBU ISLAND,Cebu Island,17015,17008,3092,18117,18426,0.31883509431,0.00623329216,"072229000","072200000"
570,RP072230,MANDAUE CITY,VII,6014,CEBU,"007",27,MANDAUE,Urban,6th,Y,1st Class,154468,2518,VISAYAS,CEBU ISLAND,Cebu Island,259728,259015,54882,318575,331320,0.27721386599,0.00247936016,"072230000","072200000"
621,RP072232,MINGLANILLA,VII,6046,CEBU,"015",19,MINGLANILLA,Partially Urban,1st,N,1st Class,47473,6560,VISAYAS,CEBU ISLAND,Cebu Island,77268,75482,14739,101585,113178,0.40103859469,0.00482855818,"072232000","072200000"
664,RP072235,OSLOB,VII,6025,CEBU,"117",21,OSLOB,Partially Urban,2nd,N,4th Class,14545,13475,VISAYAS,CEBU ISLAND,Cebu Island,22472,22462,4607,22732,26116,0.50809001252,0.01054785433,"072235000","072200000"
716,RP072237,PINAMUNGAHAN,VII,6039,CEBU,"065",26,PINAMUNGAJAN,Partially Urban,3rd,N,2nd Class,33634,10916,VISAYAS,CEBU ISLAND,Cebu Island,51715,51694,9977,54859,57997,0.41426357464,0.00915408137,"072237000","072200000"
729,RP072238,PORO,VII,6049,CEBU,"008",17,PORO,Partially Urban,5th,N,4th Class,16055,6359,VISAYAS,CAMOTES ISLAND,Poro Island,21397,21393,4430,21529,23498,0.31286595178,0.0055564985,"072238000","072200000"
752,RP072239,RONDA,VII,6034,CEBU,"082",14,RONDA,Partially Urban,2nd,N,"-",11947,5710,VISAYAS,CEBU ISLAND,Cebu Island,16808,16796,3544,17214,18582,0.25228604648,0.00287119834,"072239000","072200000"
771,RP072240,SAMBOAN,VII,6027,CEBU,"140",15,SAMBOAN,Partially Urban,2nd,N,5th Class,13231,4516,VISAYAS,CEBU ISLAND,Cebu Island,16659,16651,3617,18140,18613,0.26842956529,0.00443715391,"072240000","072200000"
816,RP072245,SANTANDER,VII,6026,CEBU,"134",10,SANTANDER,Partially Urban,2nd,N,4th Class,9687,2953,VISAYAS,CEBU ISLAND,Cebu Island,13842,13841,2895,15294,16105,0.23684412726,0.00281214829,"072245000","072200000"
835,RP072246,SIBONGA,VII,6020,CEBU,"051",25,SIBONGA,Partially Urban,1st,N,3rd Class,23806,13345,VISAYAS,CEBU ISLAND,Cebu Island,38281,38234,7497,40765,43641,0.43605610915,0.01075906305,"072246000","072200000"
871,RP072248,TABOGON,VII,6009,CEBU,"093",25,TABOGON,Partially Urban,4th,N,3rd Class,22670,10135,VISAYAS,CEBU ISLAND,Cebu Island,27827,27827,5825,31942,33024,0.41300508531,0.00740661508,"072248000","072200000"
873,RP072249,TABUELAN,VII,6044,CEBU,"097",12,TABUELAN,Partially Urban,4th,N,4th Class,14711,14113,VISAYAS,CEBU ISLAND,Cebu Island,19373,19370,4153,21421,22292,0.50231688778,0.00844614842,"072249000","072200000"
887,RP072250,CITY OF TALISAY,VII,6045,CEBU,"013",22,TALISAY,Urban,1st,Y,3rd Class,94156,3987,VISAYAS,CEBU ISLAND,Cebu Island,148110,144196,28751,179359,200772,0.32129476149,0.00343945621,"072250000","072200000"
