X,Y,id,@id,FIXME,access,access:conditional,addr:city,addr:postcode,addr:street,alt_name,area,bicycle,bridge,bridge:name,bridge:structure,bus,bus_bay,car,change:lanes,check_date,construction,contributor:ph,conveying,covered,crossing,crossing:markings,crossing_ref,cycleway,cycleway:both,cycleway:lane,cycleway:left,cycleway:right,cycleway:right:width,description,designation,destination,destination:backward,destination:forward,destination:ref,destination:street,driveway,fine:change:lanes,fine:turn:lanes,fixme2,flood_prone,foot,foot:conditional,footway,goods,handrail,handrail:center,handrail:left,handrail:right,hazmat,hgv,hgv:lanes,highway,horse,incline,indoor,junction,lane_markings,lanes,lanes:backward,lanes:forward,layer,level,lit,loc_name,man_made,mapillary,maxheight,maxspeed,maxspeed:type,maxweight,motor_vehicle,motor_vehicle:conditional,motorcar,motorcycle,motorcycle:lanes,mtb:scale,mtb:scale:uphill,name,name:abbr,name:en,name:es,name:etymology,name:etymology:wikidata,name:ja,name:tl,name:zh,name:zh-Hant,narrow,nat_name,noname,note,note:2022,old_name,oln,oneway,oneway:bicycle,oneway:foot,overtaking,parking:both,parking:lane:both,paved,postal_code,proposed,ramp,ramp:bicycle,ref,reg_name,sac_scale,segregated,service,short_name,sidewalk,smoothness,source,source:name,source:name:mapillary,source:nat_name,source:ref,source_ref,start_date,status,step_count,surface,tactile_paving,toll,tracktype,traffic_calming,trail_visibility,tree_lined,truck,tunnel,tunnel:name,turn:lanes,turn:lanes:backward,turn:lanes:forward,type,vehicle:conditional,website,wheelchair,width,wikidata,wikipedia
,,relation/1022116,relation/1022116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paved,,,,,,,,,,,,,multipolygon,,,,,,
,,way/231981841,way/231981841,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/406544811,way/406544811,,permissive,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/609212078,way/609212078,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/25710827,way/25710827,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,secondary,,,,,,"2","1","1",,,,,,,,"50",,,,,,,,,,Archbishop Reyes Avenue,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/25800031,way/25800031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,no,,,,,,yes,,,,,"50",,,,,,,,,,Osmeña Boulevard,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/25801800,way/25801800,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,lane,,,,Capitol,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,"3",,,,,yes,,,,,"40",,,,,,,,,,Osmeña Boulevard,,,,,,,,,,,,,,,Jones Avenue,,yes,,,,,,,,,,,,,,,,,right,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/25801956,way/25801956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,Orchid Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/25801957,way/25801957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,"2",,,,,,,,,,,,,,,,,,,,Molave Street,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/25802380,way/25802380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,"40",,,,,,,,,,F. Ramos Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
